date,city,aqi_estimated,pm25,pm10,ozone,no2,co,temperature,humidity,wind_speed
2025-10-04,"Beijing, China",153,59.9,71.9,19.1,32.6,424.2,17.9,71,1.5
2025-10-03,"Beijing, China",161,74.7,98,43.5,27,479.3,17.9,71,1.5
2025-10-02,"Beijing, China",133,48.7,63.5,58,21.6,331.6,17.9,71,1.5
2025-10-01,"Beijing, China",164,81.4,112.5,56.3,31.8,436.7,17.9,71,1.5
2025-09-30,"Beijing, China",175,102.7,160,19.5,37.6,568.4,17.9,71,1.5
2025-09-29,"Beijing, China",192,134.2,157.6,64.5,22.2,420.5,17.9,71,1.5
2025-09-28,"Beijing, China",168,88.7,110.4,45,26.4,403.4,15.4,76,1.3
2025-09-27,"Beijing, China",181,113.5,127,41.5,21.2,387.4,14.7,72,1.5
2025-09-26,"Beijing, China",196,141.7,157.7,66.8,20.9,380.7,18.6,73,2
2025-09-25,"Beijing, China",203,152.3,183.4,52.8,25.5,527.4,15.5,75,2
2025-09-24,"Beijing, China",222,171.7,204.5,46.1,27.8,620.8,17.1,68,0.8
2025-09-23,"Beijing, China",185,121.9,137.7,38.7,38.9,461,20.3,74,1.2
2025-09-22,"Beijing, China",154,61.1,74.7,25.3,28.6,350.8,15.6,77,1.7
2025-09-21,"Beijing, China",159,71.2,79.7,49,20.4,298.3,21,65,1.9
2025-09-20,"Beijing, China",193,137.7,157.7,35,24.8,443.9,16.5,64,0.9
2025-09-19,"Beijing, China",168,88.9,103.5,49.6,24.5,336.4,19.8,61,0.8
2025-09-18,"Beijing, China",138,50.7,60,49.9,23.9,263.6,15.7,66,0.8
2025-09-17,"Beijing, China",84,27.6,43.3,25,27.1,330.3,17.6,69,0.8
2025-09-16,"Beijing, China",53,13,22.7,25.3,42.2,321.5,14.6,77,1.9
2025-09-15,"Beijing, China",149,55.1,69.3,19.1,40.1,523.8,15.7,72,1.7
2025-09-14,"Beijing, China",167,85.7,145.2,33.2,42.1,455.5,20.4,77,0.8
2025-09-13,"Beijing, China",180,111.4,149.7,90.9,10.5,302.9,19.1,64,2
2025-09-12,"Beijing, China",168,87.8,102.9,66.6,18,313.2,16.4,63,1.8
2025-09-11,"Beijing, China",115,41.1,53.2,60.8,19,229.1,18.1,65,1.4
2025-09-10,"Beijing, China",170,91.4,114.4,47.1,17.5,335.5,16.1,68,1.5
2025-09-09,"Beijing, China",184,118.6,136,73.4,17.4,388.5,17.7,77,2.1
2025-09-08,"Beijing, China",199,148.6,185.5,68.4,21.1,419,17.4,65,2.4
2025-09-07,"Beijing, China",180,110.9,219.3,40.9,28.8,456.9,16.4,69,1.4
2025-09-06,"Beijing, China",165,82.6,123.4,71,14.9,311.2,14.1,76,2.3
2025-09-05,"Beijing, China",159,70.8,86.8,44.2,15.2,340.7,20.1,78,2.3
2025-09-04,"Beijing, China",180,112.1,128.5,22.5,24.4,427.6,17.8,77,1.5
2025-09-03,"Beijing, China",174,100,120.2,49.7,16.7,378.4,15.5,76,2.2
2025-09-02,"Beijing, China",183,116.9,134.2,60.4,14.7,335.4,21.8,79,1.7
2025-09-01,"Beijing, China",181,114.3,132.3,64.2,15.3,367.8,14.5,71,0.5
2025-08-31,"Beijing, China",161,75.6,85.4,69.1,10.6,277.4,22.7,63,2.3
2025-08-30,"Beijing, China",172,96.4,105.4,54.4,12.3,322.6,18,66,0.8
2025-08-29,"Beijing, China",186,123,131.2,42.4,13.1,435.2,17.7,64,1.8
2025-08-28,"Beijing, China",179,109.2,122.5,27,17.6,454.4,20.3,67,2.3
2025-08-27,"Beijing, China",155,62.9,68.7,46.4,28,419.3,17.7,80,1.9
2025-08-26,"Beijing, China",162,77.5,84.1,25.2,19,327.4,21.1,80,1.2
2025-08-25,"Beijing, China",181,114.3,129.7,54.4,14.2,354.4,20.1,80,1.1
2025-08-24,"Beijing, China",167,87,99.9,54.5,15.3,374.4,17.5,76,1
2025-08-23,"Beijing, China",83,27.2,31.8,57.8,15,237.2,13.4,81,1.2
2025-08-22,"Beijing, China",184,120.4,143.8,44.6,19.5,461.4,18.6,69,1.4
2025-08-21,"Beijing, China",180,110.8,122.7,45,17.8,490.3,22.9,62,2.4
2025-08-20,"Beijing, China",161,75,78.3,34.4,19.3,405.4,16.3,62,0.8
2025-08-19,"Beijing, China",172,95.4,100,38.2,25.1,482.7,21.1,67,2
2025-08-18,"Beijing, China",170,92.5,99.6,33.6,13.6,369,22.4,66,1.3
2025-08-17,"Beijing, China",163,79.5,85.9,52.1,10.1,368.8,16.5,61,2.4
2025-08-16,"Beijing, China",161,75.7,81.1,41.2,15.8,456.1,17.9,75,0.8
2025-08-15,"Beijing, China",143,52.7,57.2,10.5,19.3,367,21.1,66,1.2
2025-08-14,"Beijing, China",194,138.3,145.9,26.2,28.3,549.8,15.2,64,2.3
2025-08-13,"Beijing, China",193,136.6,148.4,49.8,14.6,435.2,15.2,64,1.6
2025-08-12,"Beijing, China",188,127.9,134.4,52.4,17.5,450.1,18.6,75,2.2
2025-08-11,"Beijing, China",173,97.5,106,60.4,11.3,284.6,13.6,74,2.1
2025-08-10,"Beijing, China",144,53,59.9,68.5,8.5,206.6,15.7,62,0.6
2025-08-09,"Beijing, China",169,89.9,99.2,64.3,8.1,301.7,16.8,79,1.5
2025-08-08,"Beijing, China",156,64.4,69.2,58.1,35.8,415.2,21.5,62,1.6
2025-08-07,"Beijing, China",163,79.6,85.5,22.5,26.8,465.5,18.2,71,2.1
2025-08-06,"Beijing, China",226,175.6,187.1,62.3,18.1,580.4,15.2,68,0.7
2025-10-04,"Delhi, India",120,43.3,66.1,76.4,6.6,359.9,26.1,89,1
2025-10-03,"Delhi, India",151,56.3,67.7,82.4,8.2,536.5,26.1,89,1
2025-10-02,"Delhi, India",150,33.8,41.1,85,5.8,437,26.1,89,1
2025-10-01,"Delhi, India",84,27.7,38.2,54.6,10.9,520.7,26.1,89,1
2025-09-30,"Delhi, India",89,24,30.3,66.6,7.2,421.4,26.1,89,1
2025-09-29,"Delhi, India",96,33.5,42.8,62.5,9.9,427.6,26.1,89,1
2025-09-28,"Delhi, India",112,23.5,29.2,74.2,5.2,284.2,24.4,88,1
2025-09-27,"Delhi, India",155,49.4,57.7,87.4,4.4,358.9,25.2,94,0.4
2025-09-26,"Delhi, India",145,53.2,94.7,72.6,11.1,393.1,25.3,95,1.8
2025-09-25,"Delhi, India",84,26.6,65.6,65.1,8.8,258.6,27.9,88,0.7
2025-09-24,"Delhi, India",93,18.9,45.8,67.8,6.2,205.4,23.6,94,1.2
2025-09-23,"Delhi, India",93,19.4,45.3,67.9,6.7,216.8,30.3,93,0.1
2025-09-22,"Delhi, India",106,21,49.7,72.4,4.9,196.4,30.2,85,0.9
2025-09-21,"Delhi, India",83,21.6,54.5,64.7,5.4,204.9,26.1,82,1.4
2025-09-20,"Delhi, India",78,24.8,65.7,56.7,6.3,224.4,22.7,80,0.9
2025-09-19,"Delhi, India",89,30.2,68.3,51.9,10.5,326.6,29,88,1.7
2025-09-18,"Delhi, India",55,35.4,63.9,48.8,11.2,397,29.2,93,1.5
2025-09-17,"Delhi, India",99,34.8,58.4,50.1,11.5,398,26,81,1.6
2025-09-16,"Delhi, India",81,26.4,44.7,47,10.8,347.1,27.4,80,1.6
2025-09-15,"Delhi, India",63,17.8,35.2,52.7,7.2,235.6,23,88,0.8
2025-09-14,"Delhi, India",60,16.5,36.1,56,5.2,195,23.8,84,0.5
2025-09-13,"Delhi, India",59,16.1,37.1,45,7.3,236.2,23.4,86,1.7
2025-09-12,"Delhi, India",55,13.9,32.1,47,6.3,208.1,30.1,80,2
2025-09-11,"Delhi, India",56,13.4,33.7,56.5,4.5,171.1,26.9,92,0.1
2025-09-10,"Delhi, India",80,13.5,34.9,64,3.3,158.1,23.5,81,0.6
2025-09-09,"Delhi, India",86,16.2,33.5,65.6,4.6,208.1,28.2,96,0.5
2025-09-08,"Delhi, India",62,17.4,25.9,47.5,7.9,308,21.6,83,1.1
2025-09-07,"Delhi, India",55,14.2,17.7,55.4,3.8,204.4,24.1,90,1.6
2025-09-06,"Delhi, India",54,13.5,15.5,51.9,3.7,258.1,26.2,89,1.2
2025-09-05,"Delhi, India",102,27.9,28.9,71.2,4,342.2,27.3,92,0.6
2025-09-04,"Delhi, India",82,26.8,29.6,44.6,11.1,411.4,30.5,80,1.6
2025-09-03,"Delhi, India",93,32.1,34.8,32.2,11.4,532.7,26.4,89,1.3
2025-09-02,"Delhi, India",63,17.9,21.3,31.3,9,417.3,27.3,94,0
